,University,Details,Location,Rank,Tuition & Fee($),Undergraduate enrollment (fall 2022)
355,Texas A&M University--Kingsville,https://www.usnews.com/best-colleges/texas-am-kingsville-3639,"Kingsville, TX",352,11445,4845.0
356,University of Hawaii at Hilo,https://www.usnews.com/best-colleges/university-of-hawaii-at-hilo-29020,"Hilo, HI",352,20798,2593.0
357,University of Northern Colorado,https://www.usnews.com/best-colleges/university-of-northern-colorado-1349,"Greeley, CO",352,26204,6728.0
358,University of Southern Mississippi,https://www.usnews.com/best-colleges/university-of-southern-mississippi-2441,"Hattiesburg, MS",352,11618,10258.0
359,Walsh University,https://www.usnews.com/best-colleges/walsh-university-3135,"North Canton, OH",352,34595,1558.0
360,Arkansas State University,https://www.usnews.com/best-colleges/arkansas-state-university-1090,"State University, AR",361,13312,8201.0
361,Carson-Newman University,https://www.usnews.com/best-colleges/carsonnewman-university-3481,"Jefferson City, TN",361,34700,1528.0
362,Clark Atlanta University,https://www.usnews.com/best-colleges/clark-atlanta-university-1551,"Atlanta, GA",361,26446,3427.0
363,Husson University,https://www.usnews.com/best-colleges/husson-university-2043,"Bangor, ME",361,22194,2453.0
364,The University of Akron,https://www.usnews.com/best-colleges/university-of-akron-3123,"Akron, OH",361,17239,11323.0
365,University of Montana,https://www.usnews.com/best-colleges/university-of-montana-2536,"Missoula, MT",361,31622,7215.0
366,The University of Texas at Tyler,https://www.usnews.com/best-colleges/the-university-of-texas-at-tyler-11163,"Tyler, TX",361,25198,6971.0
367,Western Kentucky University,https://www.usnews.com/best-colleges/western-kentucky-university-2002,"Bowling Green, KY",361,27000,14440.0
368,Dominican University New York,https://www.usnews.com/best-colleges/dominican-college-2713,"Orangeburg, NY",369,33060,1097.0
369,Long Island University,https://www.usnews.com/best-colleges/long-island-university-667002,"Brookville, NY",369,41492,11319.0
370,Mississippi College,https://www.usnews.com/best-colleges/mississippi-college-2415,"Clinton, MS",369,21698,2396.0
371,Regent University,https://www.usnews.com/best-colleges/regent-university-30913,"Virginia Beach, VA",369,20685,4552.0
372,Texas A&M University--Commerce,https://www.usnews.com/best-colleges/texas-am-commerce-3565,"Commerce, TX",369,22626,7201.0
373,University of Louisiana at Monroe,https://www.usnews.com/best-colleges/university-of-louisiana-monroe-2020,"Monroe, LA",369,21679,6472.0
374,"University of Maryland, Eastern Shore",https://www.usnews.com/best-colleges/umes-2106,"Princess Anne, MD",369,19728,1933.0
375,Dallas Baptist University,https://www.usnews.com/best-colleges/dallas-baptist-university-3560,"Dallas, TX",376,38140,2968.0
